time,velocity,altitude,velocity_y,velocity_x,acceleration,downrange_distance,angle,q,propellant,mass flow rate,thrust,mass
80,483.333,14.711,457.324,156.709,19.838,3.264,71.084,25721.85613,306327.1053,2490.054094,6452657.331,338627.1053
81,494.015,15.16,464.554,159.508,20.034,3.422,71.076,25178.74575,303832.8062,2494.299124,6464485.185,336132.8062
82,505.42,15.64,476.062,163.451,20.277,3.583,71.076,24559.49688,301328.6439,2504.162288,6490762.454,333628.6439
83,516.576,16.13,487.942,168.741,20.48,3.749,70.975,23843.16902,298820.2015,2508.442372,6502657.57,331120.2015
84,527.782,16.586,499.155,175.628,20.7,3.921,70.296,23220.37553,296305.5017,2514.699795,6519526.869,328605.5017
85,540.286,17.167,510.512,183.853,20.954,4.101,69.634,22235.16829,293781.1034,2524.39829,6545395.885,326081.1034
86,552.777,17.685,521.688,193.116,21.247,4.29,69.16,21444.4806,291242.3526,2538.750881,6583070.466,323542.3526
87,564.45,18.192,528.35,203.246,21.465,4.488,68.755,20605.80951,288699.0886,2543.263924,6595395.167,320999.0886
88,576.666,18.733,534.45,214.293,21.593,4.697,68.405,19673.85952,286162.8411,2536.247567,6578091.345,318462.8411
89,589.444,19.266,541.34,226.24,21.654,4.917,67.876,18796.45524,283641.8422,2520.998877,6539575.398,315941.8422
90,602.222,19.811,551.156,238.408,21.8,5.149,67.291,17868.68694,281125.7402,2516.10199,6527636.132,313425.7402
91,615.833,20.374,561.185,250.003,22.005,5.393,66.676,16923.89133,278607.6513,2518.088866,6533367.061,310907.6513
92,628.333,20.93,571.19,260.336,22.305,5.649,66.124,15944.5704,276076.5802,2531.071176,6567308.891,308376.5802
93,642.222,21.55,583.476,268.998,22.523,5.913,65.677,14857.48837,273542.9523,2533.627863,6574479.996,305842.9523
94,656.397,22.134,595.76,276.038,22.722,6.186,65.46,13896.60969,271009.2686,2533.683671,6575150.005,303309.2686
95,670,22.687,607.117,282.07,22.961,6.465,65.371,13003.41282,268471.1392,2538.129408,6587041.666,300771.1392
96,685.277,23.389,620.881,288.084,23.325,6.75,65.351,11823.8878,265914.8888,2556.250453,6634162.095,298214.8888
97,699.166,23.973,635.184,294.656,23.749,7.041,65.216,10912.4378,263334.271,2580.61776,6697209.493,295634.271
98,714.444,24.65,647.526,301.83,24.015,7.34,65.143,9866.23144,260748.2789,2585.992117,6711477.111,293048.2789
99,729.722,25.291,662.834,309.508,24.19,7.645,64.995,8940.220714,258167.5512,2580.727681,6698346.381,290467.5512
100,745,25.97,676.387,317.617,24.3,7.959,64.881,7983.927131,255599.581,2567.970179,6665950.326,287899.581
101,760.833,26.65,687.694,325.955,24.505,8.281,64.682,7091.224482,253033.9495,2565.631566,6660301.102,285333.9495
